Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
B1,23/04/2023,12:30,St Truiden,Antwerp,0,1,A,0,0,D,10,10,0,4,11,6,6,2,2,0,0,0
B1,23/04/2023,17:30,Anderlecht,Mechelen,2,3,A,1,2,A,19,15,9,7,11,12,6,3,0,0,0,0
B1,23/04/2023,17:30,Charleroi,Genk,2,2,D,1,2,A,13,4,6,2,15,13,6,4,3,1,0,0
B1,23/04/2023,17:30,Club Brugge,Eupen,7,0,H,4,0,H,33,6,13,0,8,15,4,4,0,3,0,0
B1,23/04/2023,17:30,Gent,Oostende,1,2,A,0,0,D,19,13,4,6,4,10,3,5,2,3,0,0
B1,23/04/2023,17:30,Kortrijk,St. Gilloise,2,4,A,2,1,H,9,16,5,8,9,14,0,3,1,3,0,0
B1,23/04/2023,17:30,Oud-Heverlee Leuven,Standard,3,2,H,1,0,H,12,14,5,5,9,9,6,7,0,2,0,0
B1,23/04/2023,17:30,Waregem,Cercle Brugge,2,3,A,0,2,A,11,22,3,8,16,21,3,3,2,4,0,0
B1,22/04/2023,17:15,Seraing,Westerlo,1,1,D,1,1,D,10,12,4,1,14,12,6,4,4,1,0,0
B1,16/04/2023,12:30,Genk,Anderlecht,5,2,H,2,1,H,14,13,9,6,16,17,7,2,2,3,0,0
B1,16/04/2023,15:00,Mechelen,Gent,1,1,D,1,1,D,2,14,1,5,10,7,3,6,1,1,0,0
B1,16/04/2023,17:30,Antwerp,Kortrijk,1,0,H,0,0,D,14,5,3,2,13,13,12,2,0,1,0,0
B1,16/04/2023,18:15,St. Gilloise,Seraing,2,1,H,2,0,H,19,6,8,2,9,13,11,2,1,1,0,0
B1,15/04/2023,15:00,Eupen,Waregem,1,5,A,0,4,A,11,16,3,9,15,13,4,3,3,1,0,0
B1,15/04/2023,17:15,Cercle Brugge,St Truiden,3,1,H,2,0,H,10,5,5,1,11,15,4,1,3,0,0,0
B1,15/04/2023,17:15,Oostende,Oud-Heverlee Leuven,0,4,A,0,2,A,13,19,3,8,10,8,7,6,1,0,0,0
B1,15/04/2023,19:45,Westerlo,Club Brugge,0,0,D,0,0,D,7,22,1,10,13,8,4,13,4,3,0,0
B1,14/04/2023,19:45,Standard,Charleroi,3,1,H,1,0,H,10,17,6,5,15,11,5,5,4,1,1,0
B1,09/04/2023,12:30,Anderlecht,Westerlo,0,0,D,0,0,D,16,13,2,6,11,18,10,1,2,2,0,0
B1,09/04/2023,15:00,Antwerp,Cercle Brugge,2,1,H,0,1,A,11,10,4,4,10,19,6,1,1,3,0,0
B1,09/04/2023,17:30,Standard,Genk,2,0,H,2,0,H,11,19,4,7,17,13,4,7,3,3,0,0
B1,09/04/2023,18:15,St Truiden,Oostende,5,0,H,2,0,H,18,11,11,4,14,12,6,2,1,1,0,0
B1,08/04/2023,15:00,Kortrijk,Eupen,0,0,D,0,0,D,14,13,1,3,17,9,7,6,3,2,0,0
