Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E2,07/05/2023,12:00,Barnsley,Peterboro,0,2,A,0,1,A,S Oldham,14,10,2,5,10,15,10,3,0,1,0,30.12
E2,07/05/2023,12:00,Bristol Rvs,Bolton,2,3,A,1,1,D,W Finnie,12,14,6,5,13,14,5,8,1,3,0,30.12
E2,07/05/2023,12:00,Burton,Milton Keynes Dons,0,0,D,0,0,D,S Stockbridge,5,31,2,6,13,10,3,12,1,1,0,30.12
E2,07/05/2023,12:00,Cambridge,Forest Green,2,0,H,2,0,H,B Toner,12,5,3,0,8,13,7,2,0,2,0,30.12
E2,07/05/2023,12:00,Cheltenham,Charlton,2,2,D,0,1,A,T Nield,20,16,7,6,7,8,5,3,0,0,0,30.12
E2,07/05/2023,12:00,Exeter,Morecambe,3,2,H,0,0,D,C Brook,15,14,3,6,12,10,7,1,4,3,0,30.12
E2,07/05/2023,12:00,Fleetwood Town,Ipswich,2,2,D,0,0,D,R Joyce,8,21,4,2,5,14,4,8,0,3,0,31.12
E2,07/05/2023,12:00,Lincoln,Shrewsbury,1,0,H,0,0,D,A Haines,13,13,4,3,6,11,1,4,2,1,0,31.12
E2,07/05/2023,12:00,Oxford,Accrington,1,2,A,1,0,H,S Allison,25,9,6,4,14,11,8,3,1,2,0,30.12
E2,07/05/2023,12:00,Port Vale,Plymouth,1,3,A,1,2,A,S Mather,9,11,2,4,11,10,4,1,0,1,0,30.12
E2,07/05/2023,12:00,Portsmouth,Wycombe,2,2,D,1,1,D,S Gill,21,8,9,5,5,16,10,1,1,1,0,30.12
E2,07/05/2023,12:00,Sheffield Weds,Derby,1,0,H,1,0,H,L Doughty,18,10,4,6,10,8,2,6,3,2,0,31.12
E2,03/05/2023,19:45,Burton,Cambridge,1,0,H,1,0,H,A Haines,9,10,2,1,10,5,4,8,2,1,0,30.12
E2,02/05/2023,19:45,Shrewsbury,Bristol Rvs,2,1,H,1,0,H,L Swabey,6,21,2,4,14,10,3,7,4,2,0,30.12
E2,29/04/2023,15:00,Accrington,Cambridge,1,2,A,0,1,A,R Welch,15,15,6,6,18,11,6,4,2,2,0,30.12
E2,29/04/2023,15:00,Bolton,Fleetwood Town,2,0,H,1,0,H,B Speedie,11,14,3,5,13,12,8,4,2,3,0,31.12
E2,29/04/2023,15:00,Charlton,Port Vale,3,2,H,1,0,H,C Brook,10,12,4,4,15,11,4,8,4,1,0,30.12
E2,29/04/2023,15:00,Derby,Portsmouth,1,1,D,0,1,A,L Swabey,15,8,5,6,12,15,10,3,0,2,0,30.12
E2,29/04/2023,15:00,Forest Green,Oxford,0,3,A,0,1,A,T Reeves,2,15,1,6,5,8,1,5,0,0,0,30.12
E2,29/04/2023,15:00,Ipswich,Exeter,6,0,H,5,0,H,S Oldham,14,5,6,1,10,9,4,2,2,1,0,30.12
E2,29/04/2023,15:00,Milton Keynes Dons,Barnsley,4,4,D,0,1,A,A Backhouse,17,17,8,9,9,7,7,3,2,2,0,30.12
E2,29/04/2023,15:00,Morecambe,Lincoln,3,2,H,0,1,A,S Allison,11,12,5,5,13,13,3,6,3,3,0,30.12
E2,29/04/2023,15:00,Peterboro,Bristol Rvs,0,0,D,0,0,D,D Drysdale,23,6,5,2,8,10,12,2,3,5,0,30.12
E2,29/04/2023,15:00,Plymouth,Burton,1,0,H,1,0,H,L Smith,22,7,4,1,8,14,6,4,0,3,0,30.12
E2,29/04/2023,15:00,Shrewsbury,Sheffield Weds,0,3,A,0,1,A,D Whitestone,13,20,3,6,14,7,5,6,3,2,0,30.12
E2,29/04/2023,15:00,Wycombe,Cheltenham,0,3,A,0,1,A,R Joyce,14,18,2,7,10,14,8,1,1,3,0,30.12
E2,25/04/2023,19:45,Barnsley,Ipswich,0,3,A,0,2,A,B Toner,10,10,3,5,18,17,2,3,3,3,0,30.12
E2,25/04/2023,19:45,Bolton,Accrington,0,1,A,0,1,A,J Linington,11,12,6,2,10,14,10,4,0,0,0,30.12
E2,25/04/2023,19:45,Lincoln,Burton,0,1,A,0,0,D,P Howard,13,10,1,3,4,11,3,4,0,0,0,30.12
E2,25/04/2023,19:45,Oxford,Cheltenham,4,0,H,1,0,H,W Finnie,13,10,7,4,12,12,4,2,0,3,0,30.12
E2,25/04/2023,19:45,Plymouth,Bristol Rvs,2,0,H,0,0,D,C Hicks,25,3,7,1,10,17,10,2,1,1,0,31.12
E2,22/04/2023,15:00,Barnsley,Oxford,2,0,H,1,0,H,R Joyce,12,6,6,3,16,15,3,4,1,4,0,30.12
E2,22/04/2023,15:00,Bolton,Shrewsbury,1,0,H,0,0,D,T Reeves,14,6,6,0,7,5,9,2,1,2,0,30.12
E2,22/04/2023,15:00,Charlton,Morecambe,2,3,A,1,1,D,D Rock,19,12,6,4,9,8,8,1,1,0,0,30.12
E2,22/04/2023,15:00,Cheltenham,Forest Green,3,1,H,3,0,H,N Hair,13,6,7,3,13,11,4,1,4,2,0,30.12
E2,22/04/2023,15:00,Derby,Burton,1,0,H,0,0,D,B Toner,23,6,10,2,11,9,8,5,1,1,0,30.12
E2,22/04/2023,15:00,Fleetwood Town,Milton Keynes Dons,1,0,H,1,0,H,R Welch,19,17,5,3,12,11,6,6,2,4,0,30.12
E2,22/04/2023,15:00,Peterboro,Ipswich,0,3,A,0,1,A,G Ward,11,15,4,7,8,11,3,6,1,3,0,30.12
E2,22/04/2023,15:00,Plymouth,Cambridge,3,1,H,1,1,D,O Yates,13,8,4,4,8,8,5,4,1,3,0,30.12
E2,22/04/2023,15:00,Port Vale,Bristol Rvs,2,0,H,2,0,H,S Gill,11,9,5,0,17,9,5,6,2,2,0,30.12
E2,22/04/2023,15:00,Portsmouth,Accrington,1,0,H,0,0,D,D Drysdale,12,18,2,6,6,15,5,7,0,2,0,30.12
E2,22/04/2023,15:00,Sheffield Weds,Exeter,2,1,H,0,0,D,D Bourne,17,7,4,3,8,13,4,1,3,1,0,30.12
E2,22/04/2023,15:00,Wycombe,Lincoln,0,2,A,0,1,A,A Backhouse,15,14,6,4,9,13,7,3,0,3,0,30.12
E2,18/04/2023,19:45,Accrington,Peterboro,1,2,A,0,2,A,T Reeves,15,12,7,6,12,12,2,5,1,3,0,0
E2,18/04/2023,19:45,Bristol Rvs,Sheffield Weds,1,2,A,0,2,A,J Smith,7,9,4,3,7,14,6,4,0,3,0,30.12
E2,18/04/2023,19:45,Burton,Bolton,1,1,D,0,1,A,A Kitchen,14,22,8,7,7,8,3,8,1,1,0,30.12
E2,18/04/2023,19:45,Cambridge,Wycombe,1,2,A,0,2,A,B Speedie,14,13,8,7,8,13,6,7,0,1,0,30.12
E2,18/04/2023,19:45,Exeter,Derby,1,2,A,0,0,D,A Woolmer,13,15,4,5,6,8,9,3,0,1,0,30.12
E2,18/04/2023,19:45,Forest Green,Fleetwood Town,0,0,D,0,0,D,S Gill,3,15,1,4,12,12,4,3,1,3,0,30.12
