Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F2,02/06/2023,19:45,Amiens,Laval,1,2,A,0,0,D,7,18,3,7,11,16,1,7,1,2,0,0
F2,02/06/2023,19:45,Grenoble,Guingamp,0,2,A,0,1,A,14,12,5,5,9,10,5,1,2,1,0,0
F2,02/06/2023,19:45,Le Havre,Dijon,1,0,H,1,0,H,8,10,3,2,15,15,2,5,3,1,0,0
F2,02/06/2023,19:45,Metz,Bastia,3,2,H,1,0,H,14,12,6,4,8,15,3,4,0,2,0,0
F2,02/06/2023,19:45,Nimes,Sochaux,3,1,H,1,1,D,9,15,5,6,16,23,3,5,2,2,0,0
F2,02/06/2023,19:45,Niort,Quevilly Rouen,3,3,D,2,1,H,8,17,4,8,10,16,5,2,0,1,0,0
F2,02/06/2023,19:45,Paris FC,Annecy,1,0,H,0,0,D,8,8,4,4,12,12,1,5,0,1,0,0
F2,02/06/2023,19:45,Pau FC,Caen,1,0,H,1,0,H,13,7,6,1,13,9,4,6,2,2,1,0
F2,02/06/2023,19:45,St Etienne,Valenciennes,2,0,H,0,0,D,13,6,6,2,17,16,6,5,2,2,0,0
F2,26/05/2023,19:45,Annecy,Bordeaux,1,0,H,1,0,H,7,14,5,3,19,16,1,6,3,3,0,0
F2,26/05/2023,19:45,Bastia,Le Havre,1,1,D,0,0,D,9,5,2,2,18,17,7,4,4,5,0,0
F2,26/05/2023,19:45,Caen,St Etienne,2,2,D,0,2,A,14,13,3,6,13,22,6,3,1,2,0,0
F2,26/05/2023,19:45,Dijon,Paris FC,1,1,D,0,0,D,7,9,2,2,15,11,5,6,1,0,0,0
F2,26/05/2023,19:45,Guingamp,Niort,2,0,H,1,0,H,16,9,5,3,9,9,5,4,1,0,0,0
F2,26/05/2023,19:45,Laval,Nimes,2,0,H,2,0,H,8,6,5,2,11,9,5,2,2,2,0,0
F2,26/05/2023,19:45,Quevilly Rouen,Amiens,1,3,A,1,0,H,19,11,7,5,12,14,10,4,1,1,0,0
F2,26/05/2023,19:45,Rodez,Pau FC,2,3,A,1,3,A,15,7,7,5,17,22,6,0,2,2,0,1
F2,26/05/2023,19:45,Sochaux,Metz,0,1,A,0,0,D,9,14,3,9,11,11,3,5,2,0,1,0
F2,26/05/2023,19:45,Valenciennes,Grenoble,1,0,H,0,0,D,18,16,5,4,11,14,5,5,0,1,0,0
F2,22/05/2023,19:45,Le Havre,Valenciennes,0,2,A,0,2,A,20,6,2,3,11,10,8,1,2,2,0,0
F2,20/05/2023,13:45,Bordeaux,Laval,3,0,H,2,0,H,12,13,4,2,8,16,1,8,1,2,0,0
F2,20/05/2023,18:00,Amiens,Caen,1,3,A,1,1,D,12,15,4,6,10,14,2,6,1,1,0,0
F2,20/05/2023,18:00,Guingamp,Metz,1,1,D,0,1,A,16,8,5,3,12,14,5,3,0,2,0,0
F2,20/05/2023,18:00,Nimes,Dijon,1,2,A,1,0,H,11,14,4,9,12,10,4,5,1,2,0,0
F2,20/05/2023,18:00,Niort,Annecy,2,2,D,0,1,A,10,15,3,6,8,17,6,8,1,2,0,0
F2,20/05/2023,18:00,Paris FC,Sochaux,2,1,H,0,1,A,9,10,4,4,16,10,5,3,1,1,0,0
F2,20/05/2023,18:00,Pau FC,Bastia,2,6,A,1,2,A,8,13,4,9,16,16,4,5,2,1,0,0
F2,20/05/2023,18:00,St Etienne,Quevilly Rouen,4,2,H,1,1,D,18,15,8,7,13,13,8,5,1,3,0,0
F2,19/05/2023,18:00,Grenoble,Rodez,1,1,D,1,1,D,15,9,4,5,12,9,4,6,1,0,0,0
F2,15/05/2023,19:45,Annecy,Le Havre,1,0,H,0,0,D,5,13,2,5,14,14,3,4,3,5,0,1
F2,13/05/2023,14:00,Quevilly Rouen,Bordeaux,0,0,D,0,0,D,10,9,5,3,15,12,6,5,2,1,0,0
F2,13/05/2023,18:00,Bastia,Niort,2,1,H,0,0,D,20,12,6,2,13,13,4,2,2,2,0,0
F2,13/05/2023,18:00,Caen,Nimes,4,2,H,0,0,D,16,9,6,4,12,18,3,4,1,2,0,0
F2,13/05/2023,18:00,Dijon,Amiens,3,0,H,2,0,H,18,7,8,3,9,15,3,3,1,2,0,0
F2,13/05/2023,18:00,Laval,St Etienne,2,1,H,1,1,D,17,18,9,4,14,12,4,9,1,1,0,0
F2,13/05/2023,18:00,Metz,Grenoble,1,0,H,0,0,D,19,4,4,2,12,15,3,2,0,3,0,1
F2,13/05/2023,18:00,Rodez,Paris FC,0,0,D,0,0,D,6,5,2,1,13,17,6,5,1,1,0,0
F2,13/05/2023,18:00,Sochaux,Guingamp,0,1,A,0,0,D,9,10,6,3,11,16,5,5,2,2,0,0
F2,13/05/2023,18:00,Valenciennes,Pau FC,1,1,D,0,0,D,14,8,4,3,11,11,6,2,2,3,0,0
F2,08/05/2023,19:45,Le Havre,Rodez,1,0,H,0,0,D,25,5,6,3,9,14,6,3,0,1,0,0
F2,06/05/2023,14:00,Bordeaux,Caen,1,0,H,1,0,H,4,15,2,2,13,16,1,5,0,3,0,0
F2,06/05/2023,18:00,Amiens,Sochaux,1,0,H,0,0,D,13,6,6,3,13,13,6,5,2,1,0,0
F2,06/05/2023,18:00,Annecy,Dijon,1,1,D,0,0,D,10,12,5,5,15,5,6,6,3,2,0,0
F2,06/05/2023,18:00,Laval,Bastia,2,1,H,2,0,H,7,12,3,3,17,11,2,8,2,5,0,1
F2,06/05/2023,18:00,Nimes,Valenciennes,3,3,D,1,1,D,15,8,6,4,15,13,7,1,2,2,0,0
F2,06/05/2023,18:00,Niort,Metz,1,3,A,1,1,D,11,19,3,7,7,12,4,6,0,2,0,0
F2,06/05/2023,18:00,Paris FC,Grenoble,1,0,H,1,0,H,14,7,5,0,12,12,2,5,0,0,0,0
F2,06/05/2023,18:00,Pau FC,Quevilly Rouen,3,4,A,1,1,D,13,13,7,7,12,11,3,2,2,2,0,0
F2,06/05/2023,18:00,St Etienne,Guingamp,3,2,H,1,2,A,14,15,9,4,12,11,4,4,2,2,0,0
F2,01/05/2023,19:45,Sochaux,Dijon,0,2,A,0,2,A,4,17,2,6,11,18,3,6,3,2,1,0
