Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I2,19/05/2023,19:30,Cittadella,Como,0,0,D,0,0,D,21,13,3,4,16,12,4,8,2,4,0,0
I2,19/05/2023,19:30,Cosenza,Cagliari,0,1,A,0,1,A,13,17,2,5,10,13,7,3,0,2,0,0
I2,19/05/2023,19:30,Genoa,Bari,4,3,H,2,1,H,26,12,8,5,9,8,7,2,2,5,0,0
I2,19/05/2023,19:30,Modena,Sudtirol,2,1,H,2,0,H,9,17,4,5,11,17,4,6,2,2,0,0
I2,19/05/2023,19:30,Palermo,Brescia,2,2,D,2,0,H,7,11,2,2,9,9,5,2,2,2,0,0
I2,19/05/2023,19:30,Parma,Venezia,2,1,H,1,1,D,14,9,6,2,7,10,6,5,2,1,0,0
I2,19/05/2023,19:30,Perugia,Benevento,3,2,H,0,1,A,17,15,7,6,7,17,8,6,3,0,0,1
I2,19/05/2023,19:30,Pisa,Spal,1,2,A,0,1,A,14,16,5,4,16,15,10,3,2,3,0,0
I2,19/05/2023,19:30,Reggina,Ascoli,1,0,H,0,0,D,13,20,2,7,13,17,7,3,1,3,0,0
I2,19/05/2023,19:30,Ternana,Frosinone,2,3,A,2,1,H,13,11,3,5,8,11,6,4,1,1,0,0
I2,13/05/2023,13:00,Ascoli,Cosenza,1,1,D,1,1,D,23,10,6,1,19,10,7,7,1,5,0,1
I2,13/05/2023,13:00,Bari,Reggina,1,0,H,1,0,H,8,13,2,5,14,15,1,8,2,3,0,0
I2,13/05/2023,13:00,Benevento,Modena,2,1,H,2,1,H,13,21,5,4,17,10,7,2,3,2,0,0
I2,13/05/2023,13:00,Brescia,Pisa,1,1,D,0,0,D,11,12,3,3,16,13,3,5,3,5,0,0
I2,13/05/2023,13:00,Cagliari,Palermo,2,1,H,1,1,D,14,17,7,3,9,16,7,9,3,3,0,1
I2,13/05/2023,13:00,Como,Ternana,3,1,H,0,1,A,21,11,6,4,5,12,6,3,2,3,0,1
I2,13/05/2023,13:00,Spal,Parma,0,1,A,0,0,D,20,16,5,4,8,10,5,6,1,2,0,0
I2,13/05/2023,13:00,Sudtirol,Cittadella,1,1,D,0,0,D,9,11,4,2,14,16,3,2,5,4,0,0
I2,13/05/2023,13:00,Venezia,Perugia,3,2,H,2,0,H,10,14,5,4,9,13,6,6,1,3,0,1
I2,13/05/2023,15:15,Frosinone,Genoa,3,2,H,2,1,H,14,12,5,3,12,11,4,1,1,2,0,1
