Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,5/29/2023,2:35,Guadalajara Chivas,U.A.N.L.- Tigres,2,3,A
Mexico,Liga MX,2022/2023,5/26/2023,3:00,U.A.N.L.- Tigres,Guadalajara Chivas,0,0,D
Mexico,Liga MX,2022/2023,5/22/2023,3:00,Club America,Guadalajara Chivas,1,3,A
Mexico,Liga MX,2022/2023,5/21/2023,2:06,Monterrey,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,5/19/2023,3:10,Guadalajara Chivas,Club America,0,1,A
Mexico,Liga MX,2022/2023,5/18/2023,4:00,U.A.N.L.- Tigres,Monterrey,1,1,D
Mexico,Liga MX,2022/2023,5/15/2023,2:07,Guadalajara Chivas,Atlas,1,0,H
Mexico,Liga MX,2022/2023,5/14/2023,2:06,Monterrey,Santos Laguna,2,0,H
Mexico,Liga MX,2022/2023,5/14/2023,4:16,Club America,Atl. San Luis,1,2,A
Mexico,Liga MX,2022/2023,5/14/2023,19:00,Toluca,U.A.N.L.- Tigres,3,1,H
Mexico,Liga MX,2022/2023,5/12/2023,2:00,Atlas,Guadalajara Chivas,1,0,H
Mexico,Liga MX,2022/2023,5/12/2023,4:10,U.A.N.L.- Tigres,Toluca,4,1,H
Mexico,Liga MX,2022/2023,5/11/2023,2:00,Santos Laguna,Monterrey,0,0,D
Mexico,Liga MX,2022/2023,5/11/2023,4:10,Atl. San Luis,Club America,1,3,A
Mexico,Liga MX,2022/2023,5/8/2023,2:06,Club Leon,Atl. San Luis,1,3,A
Mexico,Liga MX,2022/2023,5/8/2023,4:10,U.A.N.L.- Tigres,Puebla,1,0,H
Mexico,Liga MX,2022/2023,5/7/2023,0:00,Cruz Azul,Atlas,0,1,A
Mexico,Liga MX,2022/2023,5/7/2023,2:10,Pachuca,Santos Laguna,4,4,D
Mexico,Liga MX,2022/2023,5/1/2023,0:00,Queretaro,Pachuca,0,1,A
Mexico,Liga MX,2022/2023,5/1/2023,2:05,Club Leon,U.A.N.L.- Tigres,3,0,H
Mexico,Liga MX,2022/2023,4/30/2023,0:00,Puebla,Club Tijuana,5,2,H
Mexico,Liga MX,2022/2023,4/30/2023,2:00,Atl. San Luis,Atlas,0,0,D
Mexico,Liga MX,2022/2023,4/30/2023,2:05,Guadalajara Chivas,Mazatlan FC,4,1,H
Mexico,Liga MX,2022/2023,4/30/2023,2:05,Monterrey,U.N.A.M.- Pumas,4,1,H
Mexico,Liga MX,2022/2023,4/30/2023,4:05,Cruz Azul,Santos Laguna,3,2,H
Mexico,Liga MX,2022/2023,4/30/2023,19:00,Toluca,Necaxa,3,0,H
Mexico,Liga MX,2022/2023,4/29/2023,4:05,Juarez,Club America,0,1,A
Mexico,Liga MX,2022/2023,4/24/2023,2:05,Santos Laguna,Queretaro,0,2,A
Mexico,Liga MX,2022/2023,4/23/2023,0:00,Pachuca,Atl. San Luis,2,1,H
Mexico,Liga MX,2022/2023,4/23/2023,2:05,Guadalajara Chivas,Cruz Azul,2,1,H
Mexico,Liga MX,2022/2023,4/23/2023,4:10,Club America,U.N.A.M.- Pumas,1,1,D
Mexico,Liga MX,2022/2023,4/23/2023,19:00,Toluca,Juarez,1,1,D
Mexico,Liga MX,2022/2023,4/22/2023,2:00,Mazatlan FC,Monterrey,0,2,A
Mexico,Liga MX,2022/2023,4/22/2023,2:05,Necaxa,Atlas,1,3,A
Mexico,Liga MX,2022/2023,4/22/2023,4:15,Club Tijuana,Club Leon,0,0,D
Mexico,Liga MX,2022/2023,4/21/2023,3:05,U.A.N.L.- Tigres,Puebla,1,0,H
Mexico,Liga MX,2022/2023,4/17/2023,0:00,Queretaro,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2022/2023,4/17/2023,2:10,Monterrey,Santos Laguna,1,2,A
Mexico,Liga MX,2022/2023,4/16/2023,0:00,Atlas,Pachuca,4,1,H
Mexico,Liga MX,2022/2023,4/16/2023,2:05,Club Leon,Guadalajara Chivas,0,2,A
Mexico,Liga MX,2022/2023,4/16/2023,4:10,Cruz Azul,Club America,1,3,A
Mexico,Liga MX,2022/2023,4/16/2023,19:00,U.N.A.M.- Pumas,Toluca,3,1,H
Mexico,Liga MX,2022/2023,4/15/2023,2:05,Necaxa,Puebla,1,1,D
Mexico,Liga MX,2022/2023,4/15/2023,4:05,Mazatlan FC,Club Tijuana,1,2,A
Mexico,Liga MX,2022/2023,4/14/2023,4:05,Atl. San Luis,Juarez,2,0,H
Mexico,Liga MX,2022/2023,4/10/2023,1:05,Santos Laguna,Pachuca,1,4,A
Mexico,Liga MX,2022/2023,4/10/2023,3:10,Juarez,Atlas,1,1,D
Mexico,Liga MX,2022/2023,4/9/2023,0:05,Guadalajara Chivas,Necaxa,1,0,H
Mexico,Liga MX,2022/2023,4/9/2023,2:05,Club Leon,Cruz Azul,0,0,D
Mexico,Liga MX,2022/2023,4/9/2023,2:05,U.A.N.L.- Tigres,Mazatlan FC,1,2,A
Mexico,Liga MX,2022/2023,4/9/2023,4:10,Club America,Monterrey,2,1,H
Mexico,Liga MX,2022/2023,4/9/2023,19:00,U.N.A.M.- Pumas,Atl. San Luis,3,1,H
Mexico,Liga MX,2022/2023,4/8/2023,2:05,Puebla,Toluca,1,2,A
Mexico,Liga MX,2022/2023,4/8/2023,4:10,Club Tijuana,Queretaro,1,2,A
Mexico,Liga MX,2022/2023,4/3/2023,0:00,Atl. San Luis,Mazatlan FC,2,1,H
Mexico,Liga MX,2022/2023,4/3/2023,2:05,Queretaro,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2022/2023,4/2/2023,0:00,Pachuca,Cruz Azul,0,2,A
Mexico,Liga MX,2022/2023,4/2/2023,2:05,Club America,Club Leon,2,2,D
Mexico,Liga MX,2022/2023,4/2/2023,2:15,Monterrey,Club Tijuana,4,0,H
Mexico,Liga MX,2022/2023,4/2/2023,4:10,Atlas,Guadalajara Chivas,3,3,D
Mexico,Liga MX,2022/2023,4/2/2023,19:00,Toluca,U.A.N.L.- Tigres,3,2,H
Mexico,Liga MX,2022/2023,4/1/2023,2:05,Necaxa,Santos Laguna,0,0,D
Mexico,Liga MX,2022/2023,4/1/2023,4:00,Juarez,Puebla,0,2,A
Mexico,Liga MX,2022/2023,3/30/2023,4:05,Queretaro,Cruz Azul,2,2,D
Mexico,Liga MX,2022/2023,3/25/2023,3:05,Mazatlan FC,Club Leon,1,2,A
Mexico,Liga MX,2022/2023,3/20/2023,1:05,Queretaro,Juarez,2,2,D
Mexico,Liga MX,2022/2023,3/20/2023,3:05,Club Leon,Santos Laguna,4,1,H
Mexico,Liga MX,2022/2023,3/19/2023,1:05,U.A.N.L.- Tigres,Monterrey,0,1,A
Mexico,Liga MX,2022/2023,3/19/2023,3:10,Guadalajara Chivas,Club America,2,4,A
Mexico,Liga MX,2022/2023,3/19/2023,18:00,U.N.A.M.- Pumas,Pachuca,0,2,A
Mexico,Liga MX,2022/2023,3/18/2023,1:00,Puebla,Atlas,0,4,A
Mexico,Liga MX,2022/2023,3/18/2023,3:05,Club Tijuana,Toluca,3,3,D
Mexico,Liga MX,2022/2023,3/18/2023,3:10,Mazatlan FC,Necaxa,0,1,A
