Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,28/05/2023,13:30,AZ Alkmaar,PSV Eindhoven,1,2,A,0,0,D,9,7,6,2,10,17,2,4,2,5,0,1
N1,28/05/2023,13:30,Cambuur,Waalwijk,4,0,H,2,0,H,21,10,9,4,12,4,11,5,1,1,0,0
N1,28/05/2023,13:30,Feyenoord,Vitesse,0,1,A,0,1,A,27,14,9,7,1,12,11,5,0,2,0,0
N1,28/05/2023,13:30,For Sittard,Nijmegen,1,1,D,0,0,D,16,15,4,6,16,11,5,6,1,0,0,0
N1,28/05/2023,13:30,Groningen,Sparta Rotterdam,0,5,A,0,1,A,7,27,1,12,9,7,2,5,1,1,1,0
N1,28/05/2023,13:30,Heerenveen,Go Ahead Eagles,2,0,H,1,0,H,16,15,7,3,9,14,4,1,1,3,0,0
N1,28/05/2023,13:30,Twente,Ajax,3,1,H,0,1,A,11,20,6,6,12,8,0,7,2,1,0,0
N1,28/05/2023,13:30,Utrecht,FC Emmen,3,2,H,1,1,D,20,10,7,5,14,7,13,4,0,1,1,0
N1,28/05/2023,13:30,Volendam,Excelsior,3,2,H,3,0,H,28,19,9,8,11,9,15,5,0,0,0,0
N1,21/05/2023,13:30,Ajax,Utrecht,3,1,H,1,0,H,27,5,9,1,5,4,8,1,0,1,0,0
N1,21/05/2023,13:30,Excelsior,For Sittard,3,0,H,0,0,D,14,13,6,3,14,5,6,2,1,2,0,0
N1,21/05/2023,13:30,FC Emmen,Feyenoord,1,3,A,1,1,D,5,22,2,8,7,9,3,8,1,2,0,0
N1,21/05/2023,13:30,Go Ahead Eagles,Volendam,3,0,H,1,0,H,20,16,6,3,8,9,8,3,0,2,0,0
N1,21/05/2023,13:30,Nijmegen,AZ Alkmaar,0,3,A,0,2,A,11,14,2,6,10,7,3,4,2,0,1,0
N1,21/05/2023,13:30,PSV Eindhoven,Heerenveen,3,3,D,1,2,A,22,13,5,6,9,11,9,6,3,2,0,0
N1,21/05/2023,13:30,Sparta Rotterdam,Cambuur,4,1,H,3,1,H,11,15,5,4,6,9,4,4,1,1,0,0
N1,21/05/2023,13:30,Vitesse,Groningen,6,0,H,2,0,H,30,8,13,1,5,5,2,2,1,0,0,1
N1,21/05/2023,13:30,Waalwijk,Twente,0,5,A,0,2,A,4,20,2,12,11,7,5,5,3,1,0,0
N1,14/05/2023,11:15,Vitesse,Cambuur,2,0,H,0,0,D,14,10,2,1,11,13,4,4,2,0,1,0
N1,14/05/2023,15:45,Feyenoord,Go Ahead Eagles,3,0,H,2,0,H,12,7,3,1,12,9,1,2,1,1,0,0
N1,14/05/2023,19:00,AZ Alkmaar,FC Emmen,5,1,H,5,0,H,23,7,4,2,8,5,13,3,0,0,0,0
N1,14/05/2023,19:00,PSV Eindhoven,For Sittard,2,1,H,1,1,D,22,4,7,0,7,7,14,1,1,3,0,0
N1,14/05/2023,13:30,Groningen,Ajax,2,3,A,1,1,D,12,18,5,8,12,5,3,10,3,0,0,0
N1,13/05/2023,17:45,Volendam,Sparta Rotterdam,2,1,H,1,1,D,11,6,5,2,13,5,6,5,2,2,0,0
N1,13/05/2023,19:00,Heerenveen,Excelsior,0,0,D,0,0,D,11,15,2,4,10,12,5,6,3,2,0,0
N1,13/05/2023,20:00,Utrecht,Waalwijk,2,0,H,0,0,D,13,10,3,2,7,9,4,4,1,2,0,0
N1,12/05/2023,19:00,Twente,Nijmegen,4,0,H,1,0,H,26,7,11,2,16,7,7,3,2,1,0,0
N1,07/05/2023,11:15,FC Emmen,Twente,0,3,A,0,0,D,11,16,4,4,6,16,2,2,0,2,0,0
N1,07/05/2023,13:30,Excelsior,Feyenoord,0,2,A,0,1,A,9,8,4,3,11,10,4,2,0,0,0,0
N1,07/05/2023,13:30,Go Ahead Eagles,Groningen,1,1,D,1,1,D,14,7,6,2,11,13,6,5,1,4,0,0
N1,07/05/2023,15:45,For Sittard,Vitesse,2,0,H,0,0,D,7,14,4,2,12,11,5,8,2,1,0,0
N1,06/05/2023,17:45,Sparta Rotterdam,PSV Eindhoven,0,1,A,0,0,D,5,21,0,4,7,15,2,4,1,1,0,0
N1,06/05/2023,19:00,Cambuur,Utrecht,0,3,A,0,2,A,5,10,0,1,7,6,4,0,0,1,0,0
N1,06/05/2023,19:00,Nijmegen,Heerenveen,2,3,A,1,1,D,11,10,3,4,14,19,4,3,0,2,0,0
N1,06/05/2023,20:00,Ajax,AZ Alkmaar,0,0,D,0,0,D,18,11,3,4,10,10,8,2,1,2,0,0
N1,05/05/2023,19:00,Waalwijk,Volendam,4,1,H,2,0,H,11,15,4,4,7,8,4,8,1,0,0,0
N1,25/04/2023,14:00,Groningen,Nijmegen,0,1,A,0,0,D,14,9,2,3,14,8,4,8,1,0,1,0
N1,23/04/2023,11:15,Twente,Sparta Rotterdam,3,3,D,1,2,A,21,17,7,7,7,13,17,6,1,4,0,1
N1,23/04/2023,13:30,Go Ahead Eagles,For Sittard,2,0,H,1,0,H,15,15,6,3,9,2,6,9,2,0,0,0
N1,23/04/2023,13:30,PSV Eindhoven,Ajax,3,0,H,1,0,H,11,8,4,2,17,11,5,5,1,3,0,0
N1,23/04/2023,15:45,Feyenoord,Utrecht,3,1,H,1,0,H,15,6,9,1,0,7,4,0,0,2,0,0
N1,23/04/2023,19:00,AZ Alkmaar,Waalwijk,3,0,H,1,0,H,16,7,8,1,9,6,8,0,0,1,0,0
N1,22/04/2023,17:45,Heerenveen,FC Emmen,2,3,A,1,0,H,15,14,4,5,7,11,10,5,0,1,0,0
N1,22/04/2023,20:00,Vitesse,Excelsior,0,0,D,0,0,D,28,6,7,0,6,11,17,3,2,1,0,0
N1,21/04/2023,19:00,Volendam,Cambuur,2,0,H,1,0,H,15,9,7,2,10,9,9,5,0,2,0,0
N1,19/04/2023,17:45,Go Ahead Eagles,Waalwijk,3,2,H,2,1,H,25,5,11,3,7,14,10,1,0,1,0,0
N1,16/04/2023,11:15,Nijmegen,Vitesse,1,4,A,0,2,A,13,14,3,4,11,20,7,6,3,3,0,0
