Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2021/2022,7/23/2021,17:00,Termalica B-B.,Stal Mielec,1,1,D,"2,39","3,35","3,22","2,42","3,43","3,29","2,32","3,21","3,08"
Poland,Ekstraklasa,2021/2022,7/23/2021,19:30,Lech Poznan,Radomiak Radom,0,0,D,"1,66","3,83","6,03","1,7","3,87","6,03","1,65","3,62","5,41"
Poland,Ekstraklasa,2021/2022,7/24/2021,14:00,Leczna,Cracovia,1,1,D,"3,64","3,3","2,22","3,67","3,4","2,29","3,39","3,18","2,19"
Poland,Ekstraklasa,2021/2022,7/24/2021,16:30,Jagiellonia,Lechia Gdansk,1,1,D,"2,53","3,46","2,91","2,6","3,46","2,99","2,47","3,29","2,8"
Poland,Ekstraklasa,2021/2022,7/24/2021,19:00,Legia,Wisla Plock,1,0,H,"2,27","3,44","3,36","2,34","3,44","3,4","2,23","3,26","3,22"
Poland,Ekstraklasa,2021/2022,7/25/2021,14:00,Piast Gliwice,Rakow,2,3,A,"2,99","3,21","2,62","3,04","3,27","2,91","2,74","3,12","2,63"
Poland,Ekstraklasa,2021/2022,7/25/2021,16:30,Slask Wroclaw,Warta Poznan,2,2,D,"2,32","3,28","3,43","2,36","3,31","3,64","2,25","3,16","3,26"
Poland,Ekstraklasa,2021/2022,7/25/2021,19:00,Pogon Szczecin,Gornik Z.,2,0,H,"2,04","3,37","4,15","2,06","3,45","4,25","1,98","3,28","3,9"
Poland,Ekstraklasa,2021/2022,7/26/2021,17:00,Wisla,Zaglebie,3,0,H,"1,99","3,77","3,82","2,1","3,77","3,86","1,99","3,58","3,49"
Poland,Ekstraklasa,2021/2022,7/30/2021,17:00,Zaglebie,Leczna,3,1,H,"1,65","4,08","5,56","1,83","4,08","5,61","1,67","3,75","4,99"
Poland,Ekstraklasa,2021/2022,7/30/2021,19:30,Gornik Z.,Lech Poznan,1,3,A,"3,9","3,54","2,04","3,92","3,54","2,15","3,6","3,35","2,03"
Poland,Ekstraklasa,2021/2022,7/31/2021,14:00,Stal Mielec,Piast Gliwice,0,2,A,"3,7","3,38","2,17","3,73","3,4","2,29","3,49","3,21","2,13"
Poland,Ekstraklasa,2021/2022,7/31/2021,16:30,Termalica B-B.,Wisla,2,2,D,"2,56","3,41","2,91","2,87","3,46","2,96","2,51","3,27","2,76"
Poland,Ekstraklasa,2021/2022,7/31/2021,19:00,Radomiak Radom,Legia,3,1,H,"3,14","3,29","2,47","3,17","3,4","2,51","3,02","3,17","2,37"
Poland,Ekstraklasa,2021/2022,8/1/2021,14:00,Warta Poznan,Pogon Szczecin,1,1,D,"3,82","3,12","2,24","3,93","3,14","2,35","3,57",3,"2,21"
