Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,28/05/2023,15:00,Kilmarnock,Ross County,3,1,H,1,0,H,K Clancy,10,7,4,1,8,15,5,3,4,1,0,30.12
SC0,28/05/2023,15:00,Motherwell,Dundee United,3,2,H,1,1,D,S McLean,23,10,6,7,17,6,9,0,2,0,0,30.12
SC0,28/05/2023,15:00,St Johnstone,Livingston,2,0,H,1,0,H,G Grainger,9,9,3,4,9,11,4,2,0,3,0,30.12
SC0,27/05/2023,12:30,Celtic,Aberdeen,5,0,H,2,0,H,A Muir,20,0,8,0,9,8,10,2,1,2,0,30.12
SC0,27/05/2023,12:30,Hearts,Hibernian,1,1,D,1,1,D,D Robertson,3,17,1,6,12,15,4,9,3,5,1,30.12
SC0,27/05/2023,12:30,St Mirren,Rangers,0,3,A,0,1,A,M MacDermid,8,9,1,3,10,11,5,3,2,1,0,30.12
SC0,24/05/2023,19:45,Aberdeen,St Mirren,3,0,H,2,0,H,D Robertson,15,6,6,4,13,14,2,2,0,1,0,31.12
SC0,24/05/2023,19:45,Dundee United,Kilmarnock,0,3,A,0,2,A,A Muir,10,11,2,4,15,16,3,5,1,1,0,30.12
SC0,24/05/2023,19:45,Hibernian,Celtic,4,2,H,0,1,A,K Clancy,15,18,8,4,10,7,8,10,2,1,0,31.12
SC0,24/05/2023,19:45,Livingston,Motherwell,1,1,D,0,1,A,C Graham,8,6,2,1,7,12,1,11,2,1,1,30.12
SC0,24/05/2023,19:45,Rangers,Hearts,2,2,D,1,1,D,J Beaton,19,8,8,3,10,13,9,2,3,4,0,30.12
SC0,24/05/2023,19:45,Ross County,St Johnstone,3,3,D,0,1,A,N Walsh,14,11,8,5,15,15,6,4,2,0,0,30.12
SC0,21/05/2023,12:00,Hibernian,Rangers,1,3,A,0,1,A,A Muir,14,20,2,7,17,13,7,5,2,1,0,30.12
SC0,20/05/2023,12:30,Hearts,Aberdeen,2,1,H,1,1,D,K Clancy,30,9,8,4,6,15,5,2,1,4,0,30.12
SC0,20/05/2023,15:00,Celtic,St Mirren,2,2,D,1,2,A,D Munro,21,10,6,2,4,9,14,2,0,0,0,30.12
SC0,20/05/2023,15:00,Kilmarnock,St Johnstone,0,1,A,0,1,A,J Beaton,10,17,1,7,10,11,3,8,1,3,1,30.12
SC0,20/05/2023,15:00,Livingston,Dundee United,2,1,H,1,1,D,D Robertson,14,17,7,4,16,11,1,12,2,1,0,31.12
SC0,20/05/2023,15:00,Motherwell,Ross County,1,0,H,0,0,D,E Anderson,16,6,6,1,15,14,4,4,3,0,0,31.12
SC0,13/05/2023,12:30,Rangers,Celtic,3,0,H,2,0,H,S McLean,16,8,8,1,15,4,5,5,1,1,0,30.12
SC0,13/05/2023,15:00,Aberdeen,Hibernian,0,0,D,0,0,D,N Walsh,8,17,2,5,10,17,3,8,2,5,0,30.12
SC0,13/05/2023,15:00,Dundee United,Ross County,1,3,A,1,1,D,J Beaton,16,10,7,8,12,16,6,5,2,5,0,30.12
SC0,13/05/2023,15:00,Kilmarnock,Livingston,2,0,H,0,0,D,D Munro,11,7,6,2,17,17,2,5,1,3,0,30.12
SC0,13/05/2023,15:00,St Johnstone,Motherwell,0,2,A,0,0,D,G Irvine,11,8,1,4,8,14,6,4,0,1,0,30.12
SC0,13/05/2023,15:00,St Mirren,Hearts,2,2,D,2,0,H,D Dickinson,13,11,7,6,19,13,7,4,2,4,0,31.12
SC0,07/05/2023,14:15,Hearts,Celtic,0,2,A,0,0,D,N Walsh,7,12,0,3,9,10,6,5,0,1,1,30.12
SC0,07/05/2023,15:00,Rangers,Aberdeen,1,0,H,0,0,D,J Beaton,19,11,7,4,4,8,12,6,1,2,0,30.12
SC0,06/05/2023,15:00,Hibernian,St Mirren,2,1,H,2,0,H,M MacDermid,13,13,6,4,11,11,3,5,2,1,0,30.12
SC0,06/05/2023,15:00,Motherwell,Kilmarnock,2,0,H,1,0,H,K Clancy,17,8,6,1,15,12,8,1,2,2,0,30.12
SC0,06/05/2023,15:00,Ross County,Livingston,2,0,H,1,0,H,D Dickinson,6,10,2,0,15,7,5,3,2,2,0,31.12
SC0,06/05/2023,15:00,St Johnstone,Dundee United,1,0,H,1,0,H,A Muir,17,12,6,2,15,16,9,2,2,3,0,31.12
SC0,23/04/2023,16:30,Aberdeen,Rangers,2,0,H,0,0,D,N Walsh,11,20,4,3,17,7,3,7,2,1,0,30.12
SC0,22/04/2023,12:30,Hearts,Ross County,6,1,H,4,0,H,D Robertson,30,7,12,1,7,10,8,5,1,3,0,30.12
SC0,22/04/2023,15:00,Celtic,Motherwell,1,1,D,1,0,H,J Beaton,16,6,5,3,7,7,13,3,1,3,0,30.12
SC0,22/04/2023,15:00,Dundee United,Livingston,2,0,H,1,0,H,K Clancy,7,8,3,1,15,10,6,3,3,2,0,30.12
SC0,22/04/2023,15:00,St Johnstone,Hibernian,1,1,D,1,1,D,C Napier,14,6,7,3,11,12,8,1,2,2,0,31.12
SC0,22/04/2023,15:00,St Mirren,Kilmarnock,0,2,A,0,2,A,W Collum,6,16,1,6,12,11,5,1,1,1,1,30.12
SC0,16/04/2023,12:00,Kilmarnock,Celtic,1,4,A,1,4,A,D Dickinson,14,16,5,6,13,15,4,5,0,2,0,30.12
SC0,15/04/2023,12:30,Hibernian,Hearts,1,0,H,0,0,D,J Beaton,11,11,3,4,14,8,5,7,6,4,0,30.12
SC0,15/04/2023,15:00,Livingston,St Johnstone,2,0,H,2,0,H,D Munro,12,11,5,2,19,16,2,3,2,1,0,30.12
SC0,15/04/2023,15:00,Motherwell,Dundee United,1,2,A,1,0,H,N Walsh,22,10,8,6,11,9,6,6,3,4,0,30.12
SC0,15/04/2023,15:00,Rangers,St Mirren,5,2,H,1,1,D,S McLean,23,5,11,4,9,14,6,4,2,1,0,30.12
SC0,14/04/2023,19:45,Ross County,Aberdeen,0,1,A,0,1,A,E Anderson,14,11,4,1,8,12,10,2,1,2,0,31.12
SC0,09/04/2023,12:00,Dundee United,Hibernian,2,1,H,1,0,H,D Munro,10,14,3,3,10,15,0,4,0,2,0,30.12
SC0,08/04/2023,12:30,Celtic,Rangers,3,2,H,1,1,D,K Clancy,9,8,7,3,19,12,4,3,4,2,0,0
SC0,08/04/2023,15:00,Aberdeen,Kilmarnock,2,0,H,1,0,H,D Robertson,13,16,3,2,12,5,5,8,1,1,0,30.12
SC0,08/04/2023,15:00,Hearts,St Mirren,0,2,A,0,0,D,M MacDermid,16,15,2,3,11,15,6,8,2,3,1,30.12
SC0,08/04/2023,15:00,Motherwell,Livingston,3,0,H,3,0,H,G Irvine,11,11,6,2,16,6,4,2,1,1,0,30.12
SC0,08/04/2023,15:00,St Johnstone,Ross County,0,2,A,0,1,A,A Muir,15,13,2,4,16,17,7,5,2,3,0,30.12
SC0,02/04/2023,12:00,Ross County,Celtic,0,2,A,0,1,A,W Collum,8,28,2,9,7,6,2,9,0,0,0,30.12
SC0,01/04/2023,15:00,Hibernian,Motherwell,1,3,A,0,1,A,G Grainger,11,17,3,5,12,7,6,5,3,1,0,30.12
SC0,01/04/2023,15:00,Kilmarnock,Hearts,2,1,H,2,1,H,E Anderson,17,10,4,3,12,15,2,5,2,2,1,30.12
SC0,01/04/2023,15:00,Rangers,Dundee United,2,0,H,1,0,H,D Robertson,28,9,7,4,11,8,10,2,1,1,0,30.12
SC0,01/04/2023,15:00,St Johnstone,Aberdeen,0,1,A,0,1,A,C Steven,14,12,6,3,6,8,7,7,3,2,1,31.12
SC0,01/04/2023,15:00,St Mirren,Livingston,3,0,H,3,0,H,J Beaton,15,13,7,3,11,11,4,9,1,3,0,30.12
SC0,18/03/2023,12:30,Motherwell,Rangers,2,4,A,1,1,D,N Walsh,3,28,2,10,9,12,1,3,1,1,1,30.12
SC0,18/03/2023,15:00,Aberdeen,Hearts,3,0,H,3,0,H,D Dickinson,22,8,6,0,12,10,7,7,3,3,0,30.12
SC0,18/03/2023,15:00,Celtic,Hibernian,3,1,H,0,1,A,S McLean,35,3,9,1,6,7,15,0,1,3,0,31.12
SC0,18/03/2023,15:00,Dundee United,St Mirren,1,1,D,1,0,H,C Napier,11,16,2,3,11,9,1,4,1,1,0,30.12
SC0,18/03/2023,15:00,Kilmarnock,St Johnstone,1,1,D,1,0,H,C Graham,14,9,4,2,10,21,9,5,3,5,0,30.12
SC0,18/03/2023,15:00,Livingston,Ross County,2,1,H,2,0,H,W Collum,13,11,7,1,8,17,8,6,3,1,0,30.12
SC0,08/03/2023,19:45,Celtic,Hearts,3,1,H,1,1,D,A Muir,11,5,3,3,6,9,7,3,0,2,0,30.12
SC0,08/03/2023,19:45,Hibernian,Rangers,1,4,A,1,2,A,D Robertson,4,31,1,11,15,5,3,7,2,0,0,30.12
SC0,08/03/2023,19:45,Livingston,Dundee United,1,1,D,1,0,H,M MacDermid,17,6,4,1,10,16,4,6,1,6,0,30.12
SC0,05/03/2023,12:00,St Mirren,Celtic,1,5,A,1,0,H,D Dickinson,1,16,1,8,14,7,0,6,1,0,1,30.12
SC0,04/03/2023,15:00,Hearts,St Johnstone,3,0,H,1,0,H,S McLean,12,15,7,5,7,8,8,7,0,0,0,30.12
SC0,04/03/2023,15:00,Livingston,Hibernian,1,4,A,1,2,A,C Graham,9,12,1,7,10,15,4,3,3,3,1,30.12
SC0,04/03/2023,15:00,Rangers,Kilmarnock,3,1,H,3,0,H,W Collum,21,3,8,2,19,13,7,4,1,2,0,30.12
SC0,04/03/2023,15:00,Ross County,Motherwell,0,2,A,0,0,D,D Robertson,17,13,6,3,14,10,9,4,0,2,1,30.12
SC0,04/03/2023,18:00,Dundee United,Aberdeen,1,3,A,0,0,D,J Beaton,24,9,6,4,10,5,10,5,2,3,0,30.12
SC0,25/02/2023,15:00,Aberdeen,Livingston,1,0,H,1,0,H,D Munro,12,6,2,1,11,11,8,8,0,3,0,30.12
SC0,25/02/2023,15:00,Kilmarnock,Motherwell,1,1,D,1,0,H,A Muir,8,13,3,7,17,15,4,6,3,3,0,30.12
