Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP2,28/05/2023,15:15,Santander,Cartagena,3,1,H,3,0,H,17,10,6,3,11,12,5,5,1,4,0,0
SP2,28/05/2023,15:15,Sp Gijon,Ponferradina,1,4,A,0,1,A,20,6,4,5,12,12,4,1,1,1,0,0
SP2,27/05/2023,15:15,Andorra,Villarreal B,4,3,H,1,2,A,15,10,5,4,17,15,4,2,2,5,0,0
SP2,27/05/2023,15:15,Burgos,Lugo,0,1,A,0,1,A,13,11,3,4,9,11,6,5,4,4,0,0
SP2,27/05/2023,17:30,Albacete,Mirandes,2,1,H,0,0,D,13,15,5,5,13,17,3,4,1,3,0,0
SP2,27/05/2023,17:30,Malaga,Ibiza,1,1,D,0,0,D,9,7,2,3,11,10,6,2,4,2,0,0
SP2,27/05/2023,20:00,Granada,Leganes,2,0,H,1,0,H,14,6,4,1,16,11,2,2,0,2,0,0
SP2,27/05/2023,20:00,Huesca,Eibar,0,1,A,0,0,D,17,15,1,1,9,12,8,6,0,3,0,1
SP2,27/05/2023,20:00,Las Palmas,Alaves,0,0,D,0,0,D,11,6,1,2,5,29,2,4,1,5,0,0
SP2,27/05/2023,20:00,Levante,Oviedo,2,1,H,0,0,D,23,6,11,1,13,13,5,3,4,1,0,0
SP2,26/05/2023,20:00,Zaragoza,Tenerife,1,1,D,0,0,D,14,8,5,2,7,10,6,4,1,4,0,0
SP2,21/05/2023,15:15,Oviedo,Santander,1,0,H,1,0,H,13,16,4,6,8,6,4,3,0,2,0,0
SP2,21/05/2023,17:30,Leganes,Andorra,1,1,D,1,1,D,12,15,5,6,15,18,2,6,1,0,0,0
SP2,20/05/2023,15:15,Ibiza,Zaragoza,1,0,H,0,0,D,4,12,2,4,8,8,4,9,1,2,0,0
SP2,20/05/2023,17:30,Alaves,Malaga,2,1,H,0,0,D,15,15,4,5,23,15,6,3,3,3,0,0
SP2,20/05/2023,17:30,Cartagena,Las Palmas,1,4,A,1,3,A,12,16,4,8,15,7,5,4,2,1,0,0
SP2,20/05/2023,17:30,Eibar,Sp Gijon,2,2,D,0,1,A,18,8,6,3,8,12,13,0,3,3,0,1
SP2,20/05/2023,17:30,Lugo,Huesca,1,2,A,0,0,D,8,12,3,4,13,14,4,4,1,1,0,0
SP2,20/05/2023,17:30,Mirandes,Granada,1,3,A,0,1,A,6,13,4,6,8,17,3,0,2,2,1,0
SP2,20/05/2023,17:30,Ponferradina,Albacete,1,1,D,0,1,A,6,13,1,6,15,16,7,5,3,2,0,0
SP2,20/05/2023,17:30,Villarreal B,Levante,2,3,A,1,2,A,8,20,4,4,14,14,4,7,5,2,1,0
SP2,20/05/2023,20:00,Tenerife,Burgos,2,1,H,0,1,A,24,7,7,3,16,4,12,3,5,1,0,0
SP2,15/05/2023,20:00,Levante,Ibiza,0,0,D,0,0,D,20,3,4,1,6,9,10,2,0,7,0,0
SP2,14/05/2023,13:00,Santander,Eibar,1,0,H,1,0,H,6,19,3,3,14,15,1,7,1,1,0,0
SP2,14/05/2023,15:15,Andorra,Tenerife,1,0,H,0,0,D,12,7,4,1,11,20,4,4,1,6,0,0
SP2,14/05/2023,17:30,Albacete,Alaves,1,1,D,1,0,H,11,13,4,4,16,9,4,8,4,6,0,0
SP2,14/05/2023,17:30,Huesca,Ponferradina,1,1,D,0,0,D,13,7,4,3,12,11,7,2,2,0,0,0
SP2,14/05/2023,20:00,Las Palmas,Villarreal B,1,1,D,1,0,H,13,16,2,8,12,10,2,6,2,1,0,0
SP2,13/05/2023,15:15,Sp Gijon,Oviedo,1,1,D,0,1,A,13,10,6,3,11,10,7,1,3,2,0,0
SP2,13/05/2023,17:30,Granada,Lugo,2,0,H,2,0,H,17,7,9,0,16,11,5,5,3,0,0,0
SP2,13/05/2023,17:30,Zaragoza,Cartagena,2,0,H,1,0,H,9,10,1,1,13,15,5,6,1,0,0,0
SP2,13/05/2023,20:00,Malaga,Mirandes,2,0,H,1,0,H,13,7,3,2,14,13,5,0,1,2,0,0
SP2,12/05/2023,20:00,Burgos,Leganes,0,3,A,0,2,A,11,14,1,7,10,6,5,4,0,0,0,0
SP2,08/05/2023,20:00,Eibar,Las Palmas,0,1,A,0,0,D,18,7,3,2,23,12,7,1,3,4,0,0
SP2,07/05/2023,13:00,Villarreal B,Sp Gijon,2,0,H,1,0,H,13,8,6,3,18,11,5,4,0,3,0,1
SP2,07/05/2023,15:15,Ibiza,Albacete,0,5,A,0,2,A,6,19,0,10,10,10,3,7,4,1,0,0
SP2,07/05/2023,15:15,Ponferradina,Malaga,2,0,H,0,0,D,13,15,3,4,16,9,6,7,4,3,0,0
SP2,07/05/2023,17:30,Lugo,Andorra,2,2,D,1,1,D,12,10,4,4,14,12,5,3,3,3,1,1
SP2,07/05/2023,17:30,Oviedo,Zaragoza,2,1,H,1,0,H,5,12,4,2,8,11,4,5,3,1,0,0
SP2,07/05/2023,20:00,Cartagena,Burgos,0,0,D,0,0,D,8,16,2,2,8,19,3,2,0,3,1,0
SP2,06/05/2023,15:15,Mirandes,Santander,1,1,D,1,1,D,16,10,5,2,12,12,13,1,2,2,0,0
SP2,06/05/2023,17:30,Leganes,Huesca,2,1,H,1,1,D,23,6,9,2,8,19,9,3,3,7,0,0
SP2,06/05/2023,17:30,Tenerife,Levante,1,0,H,0,0,D,17,11,8,3,10,11,4,1,2,1,0,0
SP2,05/05/2023,20:00,Alaves,Granada,1,1,D,0,1,A,16,7,5,2,15,18,6,5,6,7,1,1
SP2,01/05/2023,15:15,Sp Gijon,Lugo,3,1,H,2,0,H,14,3,7,1,15,12,7,6,0,0,0,0
SP2,01/05/2023,17:30,Malaga,Huesca,0,0,D,0,0,D,12,7,1,2,13,15,4,1,3,2,0,0
SP2,01/05/2023,20:00,Burgos,Villarreal B,1,0,H,1,0,H,13,16,5,6,12,11,8,7,1,2,0,0
SP2,30/04/2023,13:00,Andorra,Mirandes,0,1,A,0,0,D,9,11,2,3,7,13,6,4,2,3,0,0
SP2,30/04/2023,15:15,Oviedo,Ponferradina,3,2,H,0,2,A,14,7,6,4,14,11,7,2,2,3,0,0
SP2,30/04/2023,17:30,Granada,Eibar,1,1,D,0,0,D,10,6,5,1,8,13,1,4,1,2,0,0
SP2,30/04/2023,20:00,Zaragoza,Las Palmas,1,1,D,0,0,D,12,17,5,6,11,8,4,6,6,1,1,0
SP2,29/04/2023,15:15,Levante,Alaves,2,0,H,2,0,H,15,8,7,0,20,13,11,8,6,2,0,0
SP2,29/04/2023,17:30,Albacete,Cartagena,1,1,D,1,0,H,11,10,5,3,12,15,2,7,2,5,1,0
SP2,29/04/2023,20:00,Tenerife,Leganes,1,0,H,1,0,H,11,11,2,1,18,11,6,2,2,1,0,0
SP2,28/04/2023,20:00,Santander,Ibiza,1,0,H,1,0,H,10,4,5,1,15,19,6,3,3,4,0,0
SP2,24/04/2023,20:00,Huesca,Tenerife,1,1,D,1,0,H,6,14,2,7,7,17,3,7,4,2,0,0
SP2,23/04/2023,13:00,Lugo,Malaga,0,2,A,0,2,A,11,9,2,5,11,8,4,7,3,1,0,0
SP2,23/04/2023,17:30,Mirandes,Burgos,2,1,H,0,0,D,8,6,4,1,10,22,2,1,4,4,0,0
SP2,23/04/2023,17:30,Santander,Granada,1,0,H,0,0,D,10,5,1,1,10,16,8,4,2,3,0,0
SP2,23/04/2023,20:00,Alaves,Leganes,2,1,H,1,0,H,14,4,3,1,8,12,6,0,3,4,0,0
SP2,22/04/2023,13:00,Villarreal B,Albacete,1,2,A,1,1,D,14,22,5,8,10,13,4,2,2,1,0,0
SP2,22/04/2023,15:15,Cartagena,Sp Gijon,2,1,H,2,1,H,12,6,4,1,15,14,2,1,2,5,0,1
SP2,22/04/2023,15:15,Ponferradina,Andorra,1,4,A,0,2,A,7,15,2,7,24,10,1,3,7,0,1,0
SP2,22/04/2023,17:30,Las Palmas,Levante,0,0,D,0,0,D,8,9,3,1,14,11,6,3,4,3,0,0
SP2,22/04/2023,20:00,Ibiza,Oviedo,1,2,A,1,1,D,12,3,4,2,16,11,3,4,5,3,0,0
SP2,21/04/2023,20:00,Eibar,Zaragoza,1,1,D,0,1,A,17,16,7,2,9,10,9,9,3,3,1,0
SP2,17/04/2023,20:00,Levante,Mirandes,1,2,A,0,1,A,20,3,7,3,15,11,9,1,1,4,0,0
SP2,16/04/2023,13:00,Andorra,Huesca,1,0,H,1,0,H,12,6,8,2,5,17,3,3,1,5,0,1
SP2,16/04/2023,15:15,Sp Gijon,Alaves,0,0,D,0,0,D,4,7,0,1,14,17,4,5,1,3,0,0
SP2,16/04/2023,17:30,Malaga,Cartagena,1,0,H,1,0,H,8,13,3,2,16,12,3,4,4,1,1,0
SP2,16/04/2023,17:30,Tenerife,Ibiza,4,0,H,2,0,H,17,4,8,1,9,5,4,2,0,2,0,0
SP2,16/04/2023,20:00,Leganes,Villarreal B,1,0,H,1,0,H,14,7,3,2,10,13,4,4,0,1,0,0
SP2,15/04/2023,15:15,Granada,Las Palmas,2,1,H,2,0,H,11,10,3,3,18,16,3,7,2,3,0,1
SP2,15/04/2023,17:30,Oviedo,Lugo,2,1,H,1,1,D,13,8,4,1,11,14,5,7,1,3,0,1
SP2,15/04/2023,17:30,Zaragoza,Santander,4,1,H,3,0,H,27,7,11,3,20,4,7,1,3,0,0,2
SP2,15/04/2023,20:00,Burgos,Ponferradina,2,2,D,0,1,A,11,17,5,3,12,12,5,4,2,2,0,0
SP2,14/04/2023,20:00,Albacete,Eibar,3,1,H,2,0,H,16,11,8,1,11,14,4,6,2,6,0,0
SP2,10/04/2023,20:00,Alaves,Andorra,0,0,D,0,0,D,8,9,3,3,23,10,6,2,3,2,0,0
SP2,09/04/2023,13:00,Huesca,Burgos,2,1,H,2,0,H,20,12,9,5,9,17,4,3,5,3,0,0
SP2,09/04/2023,15:15,Eibar,Levante,1,1,D,0,0,D,12,5,1,0,13,9,2,4,2,2,0,0
SP2,09/04/2023,17:30,Cartagena,Mirandes,1,0,H,0,0,D,10,8,2,4,14,13,2,6,3,2,0,0
SP2,09/04/2023,17:30,Ponferradina,Leganes,0,1,A,0,0,D,13,12,4,6,7,9,10,3,1,2,0,0
SP2,09/04/2023,20:00,Las Palmas,Oviedo,0,1,A,0,0,D,15,8,4,3,6,12,4,4,0,2,0,0
SP2,08/04/2023,15:15,Zaragoza,Granada,1,0,H,1,0,H,13,9,6,2,11,11,4,4,1,0,0,0
SP2,08/04/2023,17:30,Ibiza,Sp Gijon,1,3,A,0,2,A,13,9,6,6,9,14,9,3,4,1,0,1
SP2,08/04/2023,20:00,Santander,Albacete,4,1,H,3,1,H,19,16,10,4,21,16,3,6,3,4,0,0
SP2,07/04/2023,17:30,Lugo,Tenerife,0,0,D,0,0,D,9,16,2,6,12,12,6,3,1,3,0,0
SP2,07/04/2023,20:00,Villarreal B,Malaga,1,2,A,0,2,A,13,9,3,4,11,10,2,6,2,3,0,0
SP2,03/04/2023,20:00,Albacete,Las Palmas,1,2,A,1,0,H,19,12,5,4,22,11,1,7,3,6,0,0
SP2,02/04/2023,13:00,Huesca,Alaves,0,1,A,0,0,D,9,5,1,2,9,19,5,5,1,3,0,0
SP2,02/04/2023,15:15,Lugo,Ponferradina,0,0,D,0,0,D,12,13,5,3,16,14,2,6,3,4,0,0
SP2,02/04/2023,17:30,Andorra,Malaga,1,0,H,0,0,D,14,5,3,0,9,20,6,3,1,2,0,0
SP2,02/04/2023,17:30,Sp Gijon,Granada,1,0,H,1,0,H,8,13,3,2,10,8,9,3,4,1,0,0
SP2,02/04/2023,20:00,Mirandes,Ibiza,2,2,D,1,1,D,23,11,9,5,5,16,7,2,0,3,0,0
SP2,01/04/2023,15:15,Burgos,Santander,2,1,H,1,0,H,11,13,5,4,17,9,4,5,2,3,0,0
SP2,01/04/2023,17:30,Leganes,Cartagena,1,3,A,1,0,H,9,6,1,3,14,16,2,2,2,5,0,0
SP2,01/04/2023,17:30,Tenerife,Villarreal B,1,1,D,0,0,D,18,7,7,4,23,9,7,1,0,3,1,2
SP2,01/04/2023,20:00,Oviedo,Eibar,1,1,D,0,0,D,12,12,1,3,11,6,11,2,3,3,0,0
SP2,31/03/2023,20:00,Levante,Zaragoza,1,1,D,1,0,H,11,15,3,4,15,12,4,2,2,3,1,0
SP2,27/03/2023,20:00,Malaga,Leganes,2,0,H,0,0,D,11,4,4,0,15,12,6,5,2,4,0,0
SP2,26/03/2023,13:00,Eibar,Andorra,0,0,D,0,0,D,12,8,1,2,16,11,3,1,4,2,0,1
SP2,26/03/2023,15:15,Ponferradina,Mirandes,0,0,D,0,0,D,7,7,1,1,16,16,3,6,4,1,0,1
SP2,26/03/2023,15:15,Zaragoza,Albacete,1,1,D,0,0,D,10,12,3,3,15,8,5,9,1,1,0,0
SP2,26/03/2023,17:30,Granada,Oviedo,1,0,H,0,0,D,7,3,5,1,11,12,7,0,2,2,0,0
SP2,26/03/2023,17:30,Villarreal B,Huesca,0,0,D,0,0,D,15,7,6,0,11,8,2,2,1,2,0,0
SP2,26/03/2023,20:00,Las Palmas,Sp Gijon,1,1,D,0,1,A,20,6,7,2,4,12,3,1,3,2,0,1
SP2,25/03/2023,15:15,Ibiza,Burgos,2,0,H,0,0,D,14,13,6,4,9,15,4,3,4,3,0,0
SP2,25/03/2023,15:15,Santander,Levante,0,1,A,0,1,A,12,10,6,2,18,25,2,4,3,2,0,0
SP2,25/03/2023,17:30,Alaves,Tenerife,1,0,H,0,0,D,10,4,4,0,8,11,5,5,4,5,0,1
SP2,24/03/2023,20:00,Cartagena,Lugo,2,0,H,0,0,D,15,7,7,2,10,18,3,4,3,2,0,0
SP2,20/03/2023,20:00,Mirandes,Eibar,2,3,A,2,0,H,10,12,5,5,12,13,2,5,2,1,0,0
SP2,19/03/2023,13:00,Burgos,Sp Gijon,0,0,D,0,0,D,9,10,4,2,16,8,8,10,5,3,0,0
SP2,19/03/2023,15:15,Huesca,Zaragoza,1,1,D,1,1,D,17,4,7,1,5,8,7,4,0,2,1,1
SP2,19/03/2023,17:30,Lugo,Santander,1,1,D,1,0,H,12,23,4,5,17,10,2,13,3,4,1,0
SP2,19/03/2023,17:30,Villarreal B,Cartagena,5,2,H,1,2,A,20,11,9,2,14,9,8,5,2,4,0,2
SP2,18/03/2023,13:00,Andorra,Ibiza,2,2,D,0,2,A,23,7,8,3,11,6,10,3,2,5,0,0
SP2,18/03/2023,15:15,Albacete,Granada,1,2,A,0,1,A,9,9,5,4,12,14,5,2,2,5,0,0
SP2,18/03/2023,15:15,Leganes,Oviedo,0,1,A,0,0,D,8,6,3,1,13,15,4,9,3,2,0,0
SP2,18/03/2023,17:30,Tenerife,Las Palmas,4,1,H,3,0,H,12,6,6,2,26,6,4,4,4,4,0,0
SP2,18/03/2023,20:00,Ponferradina,Alaves,1,0,H,0,0,D,12,21,5,7,13,17,7,10,1,4,0,0
SP2,17/03/2023,20:00,Malaga,Levante,0,0,D,0,0,D,11,14,4,5,20,17,6,7,4,4,1,1
SP2,13/03/2023,20:00,Santander,Huesca,1,1,D,1,1,D,8,11,2,3,11,14,1,1,1,1,0,0
SP2,12/03/2023,13:00,Zaragoza,Leganes,3,0,H,1,0,H,10,9,6,2,18,12,6,4,3,0,0,0
SP2,12/03/2023,15:15,Sp Gijon,Mirandes,3,4,A,1,2,A,13,13,5,7,18,13,5,5,2,0,0,0
SP2,12/03/2023,17:30,Cartagena,Andorra,0,3,A,0,0,D,20,13,7,6,10,10,6,5,2,3,0,0
SP2,12/03/2023,17:30,Levante,Albacete,0,0,D,0,0,D,25,11,5,3,16,13,5,5,1,4,0,1
SP2,12/03/2023,20:00,Granada,Ponferradina,2,2,D,0,0,D,23,9,10,6,9,13,9,2,1,5,0,0
SP2,11/03/2023,15:15,Eibar,Burgos,1,0,H,1,0,H,13,9,7,2,7,7,10,2,2,2,0,0
SP2,11/03/2023,17:30,Alaves,Lugo,0,0,D,0,0,D,18,9,6,3,13,16,6,5,3,3,0,1
SP2,11/03/2023,17:30,Ibiza,Villarreal B,0,0,D,0,0,D,6,13,1,5,20,12,4,8,3,1,1,0
SP2,11/03/2023,20:00,Las Palmas,Malaga,2,2,D,1,1,D,14,10,6,6,14,18,4,2,3,1,0,0
SP2,10/03/2023,20:00,Oviedo,Tenerife,0,0,D,0,0,D,9,7,3,0,13,11,8,3,3,4,0,0
SP2,06/03/2023,20:00,Villarreal B,Alaves,1,0,H,1,0,H,10,10,4,2,11,17,3,8,2,4,0,0
SP2,05/03/2023,13:00,Leganes,Ibiza,0,1,A,0,0,D,15,10,6,5,8,20,4,4,1,5,0,0
SP2,05/03/2023,15:15,Albacete,Sp Gijon,2,1,H,2,1,H,14,13,9,3,16,11,6,3,2,2,0,0
SP2,05/03/2023,17:30,Lugo,Zaragoza,0,0,D,0,0,D,8,8,4,1,13,10,4,2,2,1,0,0
SP2,05/03/2023,17:30,Malaga,Santander,0,1,A,0,0,D,20,14,3,7,14,14,5,6,1,4,1,0
SP2,05/03/2023,20:00,Ponferradina,Cartagena,0,3,A,0,1,A,14,6,4,3,14,15,6,4,1,2,0,0
SP2,04/03/2023,15:15,Burgos,Granada,1,3,A,1,0,H,8,6,4,5,18,13,8,2,2,3,1,0
SP2,04/03/2023,17:30,Huesca,Levante,3,0,H,1,0,H,7,21,4,7,12,12,3,7,2,4,0,0
SP2,04/03/2023,17:30,Tenerife,Eibar,0,1,A,0,1,A,14,2,7,2,11,11,9,1,2,2,0,0
SP2,04/03/2023,20:00,Mirandes,Oviedo,1,0,H,1,0,H,11,7,2,3,14,12,2,2,1,4,0,0
SP2,03/03/2023,20:00,Andorra,Las Palmas,0,0,D,0,0,D,4,14,1,3,12,15,2,9,3,3,1,0
SP2,27/02/2023,20:00,Granada,Malaga,1,0,H,0,0,D,9,7,3,2,7,9,3,6,4,1,0,0
SP2,26/02/2023,13:00,Ibiza,Huesca,2,2,D,1,2,A,19,8,5,4,8,14,7,6,2,2,0,0
SP2,26/02/2023,15:15,Levante,Lugo,3,1,H,2,1,H,17,8,6,4,18,10,17,3,1,0,0,0
SP2,26/02/2023,15:15,Zaragoza,Burgos,0,0,D,0,0,D,15,13,5,2,9,9,6,2,3,1,0,0
SP2,26/02/2023,17:30,Las Palmas,Ponferradina,2,0,H,0,0,D,21,1,6,1,9,16,8,2,1,3,0,1
SP2,26/02/2023,20:00,Oviedo,Albacete,1,1,D,1,0,H,11,9,3,3,10,16,5,3,2,3,0,0
SP2,25/02/2023,15:15,Alaves,Cartagena,0,0,D,0,0,D,14,6,4,1,14,15,7,2,2,2,0,0
SP2,25/02/2023,15:15,Santander,Andorra,2,1,H,2,0,H,7,24,2,7,10,10,3,7,3,1,1,0
SP2,25/02/2023,20:00,Mirandes,Leganes,0,0,D,0,0,D,4,10,2,5,14,13,3,6,2,1,0,0
SP2,25/02/2023,20:00,Sp Gijon,Tenerife,1,0,H,0,0,D,10,12,2,1,8,10,7,4,3,2,0,0
SP2,24/02/2023,20:00,Eibar,Villarreal B,2,0,H,1,0,H,13,7,5,3,11,10,5,5,4,1,0,0
SP2,20/02/2023,20:00,Malaga,Zaragoza,3,0,H,0,0,D,10,10,5,4,3,15,5,1,0,2,0,0
SP2,19/02/2023,13:00,Huesca,Granada,1,1,D,1,1,D,7,8,4,2,13,15,4,4,3,2,0,0
SP2,19/02/2023,15:15,Alaves,Ibiza,4,2,H,3,1,H,13,7,7,3,10,19,3,2,2,3,0,2
SP2,19/02/2023,15:15,Andorra,Sp Gijon,1,0,H,0,0,D,12,12,3,2,5,12,7,3,0,4,0,0
SP2,19/02/2023,17:30,Burgos,Albacete,1,1,D,0,0,D,9,9,2,4,10,14,4,1,2,4,0,0
SP2,19/02/2023,20:00,Villarreal B,Santander,2,1,H,0,0,D,14,5,3,1,12,16,2,0,0,3,0,0
SP2,18/02/2023,15:15,Lugo,Eibar,0,2,A,0,1,A,8,15,1,5,7,11,9,6,3,2,0,1
SP2,18/02/2023,17:30,Leganes,Las Palmas,0,0,D,0,0,D,6,10,3,2,10,13,2,4,1,4,1,0
SP2,18/02/2023,17:30,Ponferradina,Levante,0,0,D,0,0,D,11,8,2,2,10,12,3,5,5,4,0,0
SP2,18/02/2023,20:00,Tenerife,Mirandes,1,0,H,0,0,D,14,7,2,3,20,7,6,4,4,2,0,0
SP2,17/02/2023,20:00,Cartagena,Oviedo,2,1,H,2,0,H,16,5,8,2,22,21,3,3,2,2,0,0
SP2,13/02/2023,20:00,Santander,Leganes,2,1,H,1,0,H,11,12,3,5,13,12,7,3,2,5,0,1
SP2,12/02/2023,13:00,Albacete,Malaga,3,2,H,1,2,A,18,6,6,4,17,13,4,5,1,5,0,1
SP2,12/02/2023,15:15,Oviedo,Burgos,0,1,A,0,0,D,7,10,1,2,13,11,3,4,5,0,1,0
SP2,12/02/2023,17:30,Eibar,Cartagena,0,3,A,0,2,A,16,11,1,5,8,13,5,3,3,2,0,0
SP2,12/02/2023,17:30,Sp Gijon,Huesca,1,1,D,1,1,D,16,3,4,1,8,15,9,0,0,5,0,1
SP2,12/02/2023,20:00,Ibiza,Ponferradina,1,1,D,1,0,H,13,12,5,3,13,7,7,6,3,4,0,0
SP2,11/02/2023,15:15,Zaragoza,Alaves,1,4,A,0,1,A,15,10,7,6,17,13,5,5,3,3,0,0
SP2,11/02/2023,17:30,Levante,Andorra,1,0,H,1,0,H,9,12,1,2,21,9,5,2,2,1,0,0
SP2,11/02/2023,17:30,Mirandes,Villarreal B,2,1,H,1,0,H,23,11,12,3,6,6,9,1,1,2,0,0
SP2,11/02/2023,20:00,Las Palmas,Lugo,3,0,H,2,0,H,23,5,9,1,8,5,9,2,2,2,0,0
SP2,10/02/2023,20:00,Granada,Tenerife,2,0,H,1,0,H,7,9,3,3,10,14,2,7,2,3,0,0
SP2,06/02/2023,20:00,Burgos,Las Palmas,0,0,D,0,0,D,4,12,2,3,20,14,2,0,4,3,0,0
