Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,07/06/2023,18:00,Ankaragucu,Ad. Demirspor,1,2,A,0,1,A,16,11,7,5,13,9,7,1,0,0,0,0
T1,07/06/2023,18:00,Besiktas,Konyaspor,3,3,D,2,1,H,17,6,8,3,13,12,9,3,1,3,0,1
T1,07/06/2023,18:00,Fenerbahce,Gaziantep,3,0,H,,,,,,,,,,,,,,,
T1,07/06/2023,18:00,Giresunspor,Antalyaspor,2,0,H,1,0,H,5,18,3,5,12,11,3,11,3,1,1,0
T1,07/06/2023,18:00,Hatayspor,Galatasaray,0,3,A,,,,,,,,,,,,,,,
T1,07/06/2023,18:00,Istanbulspor,Umraniyespor,4,0,H,1,0,H,24,3,12,1,13,10,8,1,3,1,0,0
T1,06/06/2023,15:00,Karagumruk,Kasimpasa,3,0,H,1,0,H,11,14,6,2,10,12,0,11,3,1,0,0
T1,06/06/2023,15:00,Sivasspor,Kayserispor,1,1,D,1,1,D,15,10,3,2,16,10,6,1,0,1,0,0
T1,06/06/2023,18:00,Buyuksehyr,Trabzonspor,3,1,H,1,0,H,16,17,6,4,6,10,3,5,0,0,0,0
T1,04/06/2023,17:00,Galatasaray,Fenerbahce,3,0,H,1,0,H,13,2,6,0,12,14,6,3,1,2,0,1
T1,03/06/2023,14:00,Konyaspor,Karagumruk,1,1,D,1,1,D,21,18,6,5,13,6,3,3,3,1,0,0
T1,03/06/2023,17:00,Ad. Demirspor,Buyuksehyr,2,3,A,1,2,A,25,15,11,6,7,14,9,8,1,1,0,0
T1,03/06/2023,17:00,Antalyaspor,Hatayspor,3,0,H,,,,,,,,,,,,,,,
T1,03/06/2023,17:00,Gaziantep,Istanbulspor,0,3,A,,,,,,,,,,,,,,,
T1,03/06/2023,17:00,Kasimpasa,Besiktas,2,5,A,0,2,A,15,16,6,6,11,13,5,5,2,3,0,0
T1,03/06/2023,17:00,Kayserispor,Ankaragucu,0,1,A,0,1,A,8,5,4,1,16,9,7,1,0,1,0,0
T1,03/06/2023,17:00,Trabzonspor,Alanyaspor,5,1,H,4,1,H,23,6,10,4,7,9,5,2,0,0,0,1
T1,03/06/2023,17:00,Umraniyespor,Giresunspor,0,1,A,0,1,A,8,8,1,4,17,13,5,4,5,1,0,0
T1,30/05/2023,18:00,Alanyaspor,Kasimpasa,1,3,A,0,0,D,14,18,4,8,14,3,5,2,1,1,0,0
T1,30/05/2023,18:00,Ankaragucu,Galatasaray,1,4,A,1,2,A,14,18,7,10,9,13,4,7,3,0,0,0
T1,30/05/2023,18:00,Buyuksehyr,Gaziantep,3,0,H,,,,,,,,,,,,,,,
T1,30/05/2023,18:00,Fenerbahce,Antalyaspor,2,0,H,1,0,H,15,8,8,3,11,10,8,2,1,3,0,0
T1,30/05/2023,18:00,Giresunspor,Trabzonspor,2,4,A,0,2,A,11,25,3,12,12,13,1,7,1,3,0,0
T1,30/05/2023,18:00,Hatayspor,Umraniyespor,0,3,A,,,,,,,,,,,,,,,
T1,30/05/2023,18:00,Istanbulspor,Ad. Demirspor,0,2,A,0,1,A,20,25,6,9,7,6,16,8,1,1,0,0
T1,30/05/2023,18:00,Karagumruk,Kayserispor,2,0,H,2,0,H,19,7,6,0,7,11,4,4,2,2,0,1
T1,30/05/2023,18:00,Sivasspor,Konyaspor,1,0,H,1,0,H,9,6,2,2,17,14,4,2,1,2,0,0
T1,22/05/2023,18:00,Trabzonspor,Karagumruk,4,1,H,3,1,H,12,9,6,3,13,7,2,1,1,0,0,0
T1,21/05/2023,14:00,Umraniyespor,Ankaragucu,1,2,A,1,1,D,12,14,3,6,12,10,4,9,2,2,0,0
T1,21/05/2023,17:00,Ad. Demirspor,Besiktas,1,4,A,1,1,D,18,14,7,11,13,15,6,8,4,5,0,0
T1,21/05/2023,17:00,Antalyaspor,Buyuksehyr,0,0,D,0,0,D,15,5,9,4,12,7,6,2,0,2,0,0
T1,21/05/2023,18:00,Gaziantep,Giresunspor,0,3,A,,,,,,,,,,,,,,,
T1,21/05/2023,18:00,Hatayspor,Fenerbahce,0,3,A,,,,,,,,,,,,,,,
T1,20/05/2023,14:00,Kasimpasa,Istanbulspor,1,0,H,0,0,D,11,9,7,3,16,9,8,4,2,1,0,0
T1,20/05/2023,17:00,Galatasaray,Sivasspor,2,0,H,1,0,H,11,4,3,2,13,12,6,3,1,1,0,0
T1,20/05/2023,17:00,Kayserispor,Alanyaspor,0,4,A,0,2,A,19,7,7,6,3,19,12,2,0,2,0,0
T1,18/05/2023,18:00,Fenerbahce,Trabzonspor,3,1,H,1,0,H,13,9,9,6,10,14,9,3,0,2,0,0
T1,17/05/2023,15:00,Buyuksehyr,Umraniyespor,1,1,D,1,0,H,6,14,3,4,13,7,3,4,2,1,1,0
T1,17/05/2023,18:00,Ankaragucu,Antalyaspor,1,1,D,0,0,D,10,7,3,4,7,15,3,2,1,3,0,0
T1,17/05/2023,18:00,Besiktas,Gaziantep,3,0,H,,,,,,,,,,,,,,,
T1,17/05/2023,18:00,Giresunspor,Hatayspor,3,0,H,,,,,,,,,,,,,,,
T1,17/05/2023,18:00,Karagumruk,Ad. Demirspor,2,3,A,1,0,H,13,19,6,6,12,10,1,8,4,2,0,0
T1,16/05/2023,15:00,Sivasspor,Kasimpasa,1,2,A,0,0,D,15,6,1,3,11,11,6,1,3,1,0,1
T1,16/05/2023,18:00,Alanyaspor,Konyaspor,0,3,A,0,1,A,12,14,5,6,12,11,3,3,4,2,0,0
T1,16/05/2023,18:00,Istanbulspor,Galatasaray,0,2,A,0,1,A,9,20,1,5,12,10,3,9,3,1,0,1
T1,08/05/2023,18:00,Galatasaray,Buyuksehyr,1,0,H,1,0,H,19,8,5,5,10,5,10,4,2,1,0,0
T1,08/05/2023,18:00,Trabzonspor,Ankaragucu,2,0,H,1,0,H,14,3,5,0,11,5,5,4,1,1,0,1
T1,07/05/2023,11:30,Umraniyespor,Sivasspor,4,1,H,2,1,H,15,5,9,2,21,14,7,7,6,1,0,1
T1,07/05/2023,14:00,Konyaspor,Kayserispor,2,2,D,0,0,D,7,8,3,4,14,7,3,7,1,1,0,0
T1,07/05/2023,17:00,Giresunspor,Fenerbahce,1,1,D,0,1,A,7,11,5,4,14,14,3,11,5,2,0,0
T1,07/05/2023,18:00,Gaziantep,Karagumruk,0,3,A,,,,,,,,,,,,,,,
T1,07/05/2023,18:00,Hatayspor,Istanbulspor,0,3,A,,,,,,,,,,,,,,,
T1,06/05/2023,17:00,Antalyaspor,Besiktas,1,3,A,1,0,H,9,11,3,5,11,10,3,5,1,0,1,0
T1,06/05/2023,19:00,Ad. Demirspor,Alanyaspor,4,2,H,2,2,D,17,13,8,5,9,13,2,2,1,2,0,0
T1,01/05/2023,18:00,Istanbulspor,Giresunspor,1,0,H,1,0,H,5,20,2,6,5,12,3,4,3,2,1,0
T1,30/04/2023,17:00,Besiktas,Galatasaray,3,1,H,1,1,D,13,7,6,1,12,13,4,1,6,2,0,0
T1,30/04/2023,18:00,Buyuksehyr,Hatayspor,3,0,H,,,,,,,,,,,,,,,
T1,30/04/2023,18:00,Kayserispor,Gaziantep,3,0,H,,,,,,,,,,,,,,,
T1,29/04/2023,14:00,Karagumruk,Antalyaspor,0,1,A,0,1,A,4,8,2,2,14,10,5,5,1,0,0,0
T1,29/04/2023,14:00,Konyaspor,Trabzonspor,2,1,H,1,1,D,12,8,5,3,13,17,6,5,2,2,0,1
